0.0,0.0
1199.0,0.0
1.0,799.0
1198.0,799.0
610.0,400.0
619.37823,404.9481
626.32745,414.38275
629.2676,427.26556
627.01514,442.07355
618.9193,456.9391
604.9516,469.82465
585.7403,478.71887
562.54675,481.83676
537.1826,477.8073
511.8742,465.83194
489.0837,445.79932
471.30096,418.3456
460.82184,384.8527
459.5315,347.3825
468.7105,308.55017
488.88058,271.34357
519.7042,238.90192
559.9488,214.26927
607.52045,200.14145
659.5691,198.6259
712.6588,211.03441
762.994,237.72574
806.68616,278.013
840.0426,330.14612
859.8568,391.3734
863.6787,458.0824
850.04175,526.0123
818.63165,590.5261
770.37726,646.92426
707.457,690.78
633.2142,718.2716
551.985,726.4882
468.8457,713.6854
389.29584,679.47046
318.89554,624.90063
262.8818,552.4838
225.78925,466.078
211.10284,370.69107
220.96808,272.19232
255.98068,176.95134
315.0746,91.42667
395.5191,21.730804
493.0301,-26.799072
601.9916,-49.995605
715.7772,-45.19168
827.15326,-11.462524
928.73773,50.240814
1013.4884,137.07925
1075.1854,244.44032
